Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-2.3125,1.5232,-0.8721,1.4321,0.9872,-1.3421,0.4512,1.1234,-0.9872,0.6743,-1.4321,0.2123,0.3456,-0.5678,1.2345,-0.8765,0.9876,-0.6543,1.0987,0.4321,-1.1234,0.8765,-0.9876,1.2345,-0.4321,0.8765,-1.2345,0.9876,256.78,0
2,-2.2343243,0.26615071205963,0.16648011335321,0.448154078460911,0.0600176492822243,-0.082360809,-0.078802983,0.0851016549148104,-0.255425128,-0.166974414,1.61272666105479,1.06523531137287,0.48909501589608,-0.143772296,0.635558093258208,0.463917041022171,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021253234,-0.339846476,0.167170404418143,0.125894532368176,-0.008983099,0.0147241691924927,2.69,0
3,0.4323232,-1.340163075,1.77320934263119,0.379779593034328,-0.503198133,1.80049938079263,0.791460956450422,0.247675786588991,-1.514654323,0.207642865216696,0.624501459424895,0.066083685268831,0.717292731410831,-0.165945923,2.34586494901581,-2.890083194,1.10996937869599,-0.121359313,-2.261857095,0.524979725224404,0.247998153469754,0.771679401917229,0.909412262347719,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
4,1.43243,-0.185226008,1.79299333957872,-0.863291275,-0.01030888,1.24720316752486,0.23760893977178,0.377435874652262,-1.387024063,-0.054951922,-0.226487264,0.178228225877303,0.507756869957169,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.96577500349538,-1.23262197,-0.208037781,-0.108300452,0.00527359678253453,-0.190320519,-1.175575332,0.647376034602038,-0.221928844,0.0627228487293033,0.0614576285006353,123.5,0
50,2.432432,0.877736754848451,1.548717847,0.403033933955121,-0.407193377,0.0959214624684256,0.592940745385545,-0.270532677,0.817739308235294,0.753074431976354,-0.822842878,0.53819555014995,1.3458515932154,-1.119669835,0.175121130008994,-0.451449183,-0.237033239,-0.038194787,0.803486924960175,0.408542360392758,-0.009430697,0.79827849458971,-0.13745808,0.141266983824769,-0.206009588,0.502292224181569,0.219422229513348,0.215153147499206,69.99,0
6,3.43214,0.960523044882985,1.14110934232219,-0.16825208,0.42098688077219,-0.029727552,0.476200948720027,0.260314333074874,-0.568671376,-0.371407197,1.34126198001957,0.359893837038039,-0.358090653,-0.1371337,0.517616806555742,0.401725895589603,-0.058132823,0.0686531494425432,-0.033193788,0.0849676720682049,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779097957,0.253844224739337,0.0810802569229443,500.55,0
500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0
80,-1.32233,1.41796354547385,1.0743803763556,-0.492199018,0.948934094764157,0.428118462833089,1.12063135838353,-3.807864239,0.615374730667027,1.24937617815176,-0.619467796,0.291474353088705,1.75796421396042,-1.32386522,0.686132504394383,-0.076126999,-1.222127345,-0.35822157,0.324504731321494,-0.156741852,1.94346533978412,-1.01545471,0.057503529867291,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0
9,1.33322123,0.286157196276544,-0.113192213,-0.27152613,2.6695986595986,3.72181806112751,0.370145127676916,0.851084443200905,-0.392047587,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.0743553603016731,-0.32878305,-0.210077268,-0.499767969,0.118764861004217,0.57032816746536,0.0527356691149697,-0.0734251,-0.268091632,-0.20423267,1.0115918018785,0.373204680146282,-0.384157308,0.0117473564581996,0.14240432992147,93.2,0
10,-0.3232323,1.11959337641566,1.04436655157316,-0.222187277,0.49936080649727,-0.246761101,0.651583206489972,0.0695385865186387,-0.736727316,-0.366845639,1.01761446783262,0.836389570307029,1.00684351373408,-0.443522817,0.150219101422635,0.739452777052119,-0.540979922,0.47667726004282,0.451772964394125,0.203711454727929,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.0941988339514961,0.246219304619926,0.0830756493473326,3.68,0
